Results with using perceptron
59;105
44;346
45;535
61;134
61;626
60;660
24;11
50;50
84;609
83;73
71;61
65;284
69;568
54;717
46;1202
62;2344
57;556
67;2586
73;1860
38;75
117;1664
68;449
36;138
44;4196
44;31
62;194
15;3
78;4660
125;2378
80;777
73;862
58;457
124;2662
59;2146
55;42
46;391
15;4
81;373
11;3
38;2187
42;124
85;525
72;3296
76;3411
33;45
15;5
61;197
89;2676
77;13079
134;10785
12;5
51;2551
36;73
15;4
66;9205
129;17842
72;275
24;63
50;121
66;186
71;13385
48;872
75;2788
23;78
52;890
33;25
58;183
76;577
48;787
122;25992
63;63
40;78
73;13382
58;212
5;2
44;137
80;4332
67;4173
77;209
97;2220
41;20
89;310
58;60
48;436
80;3915
58;608
103;1243
71;870
73;5810
80;13812
92;18989
54;21
85;1080
12;4
82;2296
56;157536
39;116
37;557
97;123701
58;138
71;1160
83;519
23;7
46;13519
119;13281
125;749
44;53
62;730
90;1402
80;1051
87;4782
67;33017
21;4
67;70
40;176
88;5731
57;116
75;3227
48;2318
36;11
62;389
43;64
102;2147
108;704
94;26401
59;549
49;34
24;39
53;5536
24;69
131;250001
3;2
131;292000
68;15931
42;194
10;6
128;90227
25;19
59;127
36;71
66;128
52;153
35;248
61;540
109;303414
161;20127
21;6
62;570
35;62
56;144
59;137
94;2553
129;13965
61;405
72;556
105;3852
12;2
31;11
77;16353
44;290
32;16
35;167
56;18437
75;589
61;18
57;182
89;858
90;65102
45;116
58;416
41;325
41;76
116;2758
34;9
41;119
60;55
91;26530
40;274
40;68
72;224
71;1729
58;642
48;398
66;2703
26;8
48;11
17;40
67;1756
43;219992
52;467804
51;116
43;142
111;5001
34;10
19;4
68;507
27;7
65;337
67;4546
64;662
54;318
58;526
74;318
40;135
48;320
84;1876
55;61913
87;127141
46;668
75;120
75;4529
50;63
40;252
33;69
114;26734
21;123
19;5
49;475
164;2006
16;7
52;160
27;12
73;509
32;256
1;2
97;2946
61;6321
31;54
45;204
65;3669
36;13
77;329
73;393884
94;1616
96;11884
39;111
75;3093
76;52646
77;1061
91;5704
39;45
72;37740
87;1062
80;166
29;174
51;288
40;77
14;4
38;9
98;116
40;4494
113;36680
104;6629
51;124
132;64066
49;518
97;4789
111;14768
59;264
47;791
73;3977
38;49
64;202
70;273
68;253
83;110778
147;15780
81;16002
35;7
100;121537
50;1739
68;851
31;304
87;616
99;56164
26;5
47;559
39;57
75;469
62;2036
78;838474
84;117
63;1728
18;385
52;202
44;524
62;1416
57;323
35;728
112;3387
34;43
32;292
16;43
54;16
67;1890
34;113
44;86
55;516
95;16393
39;920
96;4441
55;3486
64;3260
11;3
29;61
52;354
49;46
70;322
50;293
52;51
42;1195
45;328
20;40
85;418
25;43
56;79
60;2676
77;1522
88;381
40;136
90;860
52;235
91;87238
145;2414
56;1203
62;923
49;255
56;512700
47;65
47;310
18;6
48;19
97;1769
89;6421
31;136
82;8836
29;66
19;5
38;1313
72;12656
35;20
93;14702
157;18863
73;41795
44;50
29;60
27;9
57;7820
54;268
75;708
68;1784
55;454
41;137
49;180
36;80
90;956092
47;344
66;1608
7;46
55;1727
75;514
15;5
199;12724
81;1198
69;12676
190;5303
26;2714
73;65948
67;16263
45;1275
86;28828
41;5
72;1214
85;25052
37;747
75;23032
143;66106
72;512350
104;396639
